,pokedex_number,name,generation,type1,type2,classfication,is_legendary,attack,sp_attack,defense,sp_defense,hp,speed,base_total,height_m,weight_kg,percentage_male,capture_rate,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
194,195,Quagsire,2,Water,Ground,Water Fish Pokémon,0,85,65,85,65,95,35,430,1.4,75.0,50.0,90,1000000,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
197,198,Murkrow,2,Dark,Flying,Darkness Pokémon,0,85,85,42,42,60,91,405,0.5,2.1,50.0,30,1059860,1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0
198,199,Slowking,2,Water,Psychic,Royal Pokémon,0,75,100,80,110,95,30,490,2.0,79.5,50.0,70,1000000,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
202,203,Girafarig,2,Normal,Psychic,Long Neck Pokémon,0,80,90,65,65,70,85,455,1.5,41.5,50.0,60,1000000,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
204,205,Forretress,2,Bug,Steel,Bagworm Pokémon,0,90,60,140,60,75,40,465,1.2,125.8,50.0,75,1000000,0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
206,207,Gligar,2,Ground,Flying,Flyscorpion Pokémon,0,75,35,105,65,65,85,430,1.1,64.8,50.0,60,1059860,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0
207,208,Steelix,2,Steel,Ground,Iron Snake Pokémon,0,125,55,230,95,75,30,610,9.2,400.0,50.0,25,1000000,0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0
210,211,Qwilfish,2,Water,Poison,Balloon Pokémon,0,95,55,85,55,65,85,440,0.5,3.9,50.0,45,1000000,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
211,212,Scizor,2,Bug,Steel,Pincer Pokémon,0,150,65,140,100,70,75,600,1.8,118.0,50.0,25,1000000,0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
212,213,Shuckle,2,Bug,Rock,Mold Pokémon,0,10,10,230,230,20,5,505,0.6,20.5,50.0,190,1059860,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
213,214,Heracross,2,Bug,Fighting,Singlehorn Pokémon,0,185,40,115,105,80,75,600,1.5,54.0,50.0,45,1250000,0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0
214,215,Sneasel,2,Dark,Ice,Sharp Claw Pokémon,0,95,35,55,75,55,115,430,0.9,28.0,50.0,60,1059860,2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0
218,219,Magcargo,2,Fire,Rock,Lava Pokémon,0,50,90,120,80,60,30,430,0.8,55.0,50.0,75,1000000,0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0
219,220,Swinub,2,Ice,Ground,Pig Pokémon,0,50,30,40,30,50,50,250,0.4,6.5,50.0,225,1250000,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
220,221,Piloswine,2,Ice,Ground,Swine Pokémon,0,100,60,80,60,100,50,450,1.1,55.8,50.0,75,1250000,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
221,222,Corsola,2,Water,Rock,Coral Pokémon,0,55,65,95,95,65,35,410,0.6,5.0,24.6,60,800000,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
224,225,Delibird,2,Ice,Flying,Delivery Pokémon,0,55,65,45,45,45,75,330,0.9,16.0,50.0,45,800000,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
225,226,Mantine,2,Water,Flying,Kite Pokémon,0,40,80,70,140,85,70,485,2.1,220.0,50.0,25,1250000,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
226,227,Skarmory,2,Steel,Flying,Armor Bird Pokémon,0,80,40,140,70,65,70,465,1.7,50.5,50.0,25,1250000,0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0
227,228,Houndour,2,Dark,Fire,Dark Pokémon,0,60,80,30,50,45,65,330,0.6,10.8,50.0,120,1250000,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
228,229,Houndoom,2,Dark,Fire,Dark Pokémon,0,90,140,90,90,75,115,600,1.4,35.0,50.0,45,1250000,1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0
229,230,Kingdra,2,Water,Dragon,Dragon Pokémon,0,95,95,95,95,75,85,540,1.8,152.0,50.0,45,1000000,1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25
237,238,Smoochum,2,Ice,Psychic,Kiss Pokémon,0,30,85,15,65,45,65,305,0.4,6.0,0.0,45,1000000,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
245,246,Larvitar,2,Rock,Ground,Rock Skin Pokémon,0,64,45,50,50,50,41,300,0.6,72.0,50.0,45,1250000,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
246,247,Pupitar,2,Rock,Ground,Hard Shell Pokémon,0,84,65,70,70,70,51,410,1.2,152.0,50.0,45,1250000,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
247,248,Tyranitar,2,Rock,Dark,Armor Pokémon,0,164,95,150,120,100,71,700,2.0,202.0,50.0,45,1250000,2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0
248,249,Lugia,2,Psychic,Flying,Diving Pokémon,1,90,90,130,154,106,110,680,5.2,216.0,,3,1250000,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
249,250,Ho-Oh,2,Fire,Flying,Rainbow Pokémon,1,130,110,90,154,106,90,680,3.8,199.0,,3,1250000,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
250,251,Celebi,2,Psychic,Grass,Time Travel Pokémon,1,100,100,100,100,100,100,600,0.6,5.0,,45,1059860,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
255,256,Combusken,3,Fire,Fighting,Young Fowl Pokémon,0,85,85,60,60,60,55,405,0.9,19.5,88.1,45,1059860,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
256,257,Blaziken,3,Fire,Fighting,Blaze Pokémon,0,160,130,80,80,80,100,630,1.9,52.0,88.1,45,1059860,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
258,259,Marshtomp,3,Water,Ground,Mud Fish Pokémon,0,85,60,70,70,70,50,405,0.7,28.0,88.1,45,1059860,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
259,260,Swampert,3,Water,Ground,Mud Fish Pokémon,0,150,95,110,110,100,70,635,1.5,81.9,88.1,45,1059860,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
266,267,Beautifly,3,Bug,Flying,Butterfly Pokémon,0,70,100,50,50,60,65,395,1.0,28.4,50.0,45,1000000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
268,269,Dustox,3,Bug,Poison,Poison Moth Pokémon,0,50,50,70,90,60,65,385,1.2,31.6,50.0,45,1000000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
269,270,Lotad,3,Water,Grass,Water Weed Pokémon,0,30,40,30,50,40,30,220,0.5,2.6,50.0,255,1059860,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
270,271,Lombre,3,Water,Grass,Jolly Pokémon,0,50,60,50,70,60,50,340,1.2,32.5,50.0,120,1059860,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
271,272,Ludicolo,3,Water,Grass,Carefree Pokémon,0,70,90,70,100,80,70,480,1.5,55.0,50.0,45,1059860,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.25
273,274,Nuzleaf,3,Grass,Dark,Wily Pokémon,0,70,60,40,40,70,60,340,1.0,28.0,50.0,120,1059860,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
274,275,Shiftry,3,Grass,Dark,Wickid Pokémon,0,100,90,60,60,90,80,480,1.3,59.6,50.0,45,1059860,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
275,276,Taillow,3,Normal,Flying,TinySwallow Pokémon,0,55,30,30,30,40,85,270,0.3,2.3,50.0,200,1059860,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
276,277,Swellow,3,Normal,Flying,Swallow Pokémon,0,85,75,60,50,60,125,455,0.7,19.8,50.0,45,1059860,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
277,278,Wingull,3,Water,Flying,Seagull Pokémon,0,30,55,30,30,40,85,270,0.6,9.5,50.0,190,1000000,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
278,279,Pelipper,3,Water,Flying,Water Bird Pokémon,0,50,95,100,70,60,65,440,1.2,28.0,50.0,45,1000000,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
279,280,Ralts,3,Psychic,Fairy,Feeling Pokémon,0,25,45,25,35,28,40,198,0.4,6.6,50.0,235,1250000,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
280,281,Kirlia,3,Psychic,Fairy,Emotion Pokémon,0,35,65,35,55,38,50,278,0.8,20.2,50.0,120,1250000,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
281,282,Gardevoir,3,Psychic,Fairy,Embrace Pokémon,0,85,165,65,135,68,100,618,1.6,48.4,50.0,45,1250000,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
282,283,Surskit,3,Bug,Water,Pond Skater Pokémon,0,30,50,32,52,40,65,269,0.5,1.7,50.0,200,1000000,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5
283,284,Masquerain,3,Bug,Flying,Eyeball Pokémon,0,60,100,62,82,70,80,454,0.8,3.6,50.0,75,1000000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
285,286,Breloom,3,Grass,Fighting,Mushroom Pokémon,0,130,60,80,60,60,70,460,1.2,39.2,50.0,90,1640000,1.0,0.5,1.0,0.5,2.0,1.0,2.0,4.0,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5
289,290,Nincada,3,Bug,Ground,Trainee Pokémon,0,45,30,90,30,31,40,266,0.5,5.5,50.0,255,600000,1.0,1.0,1.0,0.0,1.0,0.5,2.0,2.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,2.0
290,291,Ninjask,3,Bug,Flying,Ninja Pokémon,0,90,50,45,50,61,160,456,0.8,12.0,50.0,120,600000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
291,292,Shedinja,3,Bug,Ghost,Shed Pokémon,0,90,30,45,30,1,40,236,0.8,1.2,,45,600000,0.5,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.5,0.5,1.0,0.0,0.5,1.0,2.0,1.0,1.0
297,298,Azurill,3,Normal,Fairy,Polka Dot Pokémon,0,20,20,40,40,50,20,190,0.2,2.0,24.6,150,800000,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
301,302,Sableye,3,Dark,Ghost,Darkness Pokémon,0,85,85,125,115,50,20,480,0.5,11.0,50.0,45,1059860,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0
302,303,Mawile,3,Steel,Fairy,Deceiver Pokémon,0,105,55,125,95,50,50,480,0.6,11.5,50.0,45,800000,0.25,0.5,0.0,1.0,0.5,1.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0
303,304,Aron,3,Steel,Rock,Iron Armor Pokémon,0,70,40,100,40,50,30,330,0.4,60.0,50.0,180,1250000,0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
304,305,Lairon,3,Steel,Rock,Iron Armor Pokémon,0,90,50,140,50,60,40,430,0.9,120.0,50.0,90,1250000,0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
305,306,Aggron,3,Steel,Rock,Iron Armor Pokémon,0,140,60,230,80,70,50,630,2.1,360.0,50.0,45,1250000,0.5,1.0,0.5,1.0,0.5,4.0,1.0,0.25,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
306,307,Meditite,3,Fighting,Psychic,Meditate Pokémon,0,40,40,55,55,30,60,280,0.6,11.2,50.0,180,1000000,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
307,308,Medicham,3,Fighting,Psychic,Meditate Pokémon,0,100,80,85,85,60,100,510,1.3,31.5,50.0,90,1000000,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
314,315,Roselia,3,Grass,Poison,Thorn Pokémon,0,60,100,45,80,50,65,400,0.3,2.0,50.0,150,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
317,318,Carvanha,3,Water,Dark,Savage Pokémon,0,90,65,20,20,45,65,305,0.8,20.8,50.0,225,1250000,2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
318,319,Sharpedo,3,Water,Dark,Brutal Pokémon,0,140,110,70,65,70,105,560,1.8,88.8,50.0,60,1250000,2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
321,322,Numel,3,Fire,Ground,Numb Pokémon,0,60,65,40,45,60,35,305,0.7,24.0,50.0,255,1000000,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0
322,323,Camerupt,3,Fire,Ground,Eruption Pokémon,0,120,145,100,105,70,20,560,1.9,220.0,50.0,150,1000000,0.5,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,4.0
328,329,Vibrava,3,Ground,Dragon,Vibration Pokémon,0,70,50,50,50,50,70,340,1.1,15.3,50.0,120,1059860,1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
329,330,Flygon,3,Ground,Dragon,Mystic Pokémon,0,100,80,80,80,80,100,520,2.0,82.0,50.0,45,1059860,1.0,1.0,2.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
331,332,Cacturne,3,Grass,Dark,Scarecrow Pokémon,0,115,115,60,60,70,55,475,1.3,77.4,50.0,60,1059860,4.0,0.5,1.0,0.5,2.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.0,1.0,1.0,0.5
332,333,Swablu,3,Normal,Flying,Cotton Bird Pokémon,0,40,40,60,75,45,50,310,0.4,1.2,50.0,255,600000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
333,334,Altaria,3,Dragon,Flying,Humming Pokémon,0,110,110,110,105,75,80,590,1.1,20.6,50.0,45,600000,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
336,337,Lunatone,3,Rock,Psychic,Meteorite Pokémon,0,55,95,65,85,90,70,460,1.0,168.0,,45,800000,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,2.0
337,338,Solrock,3,Rock,Psychic,Meteorite Pokémon,0,95,55,85,65,90,70,460,1.2,154.0,,45,800000,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,2.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,2.0
338,339,Barboach,3,Water,Ground,Whiskers Pokémon,0,48,46,43,41,50,60,288,0.4,1.9,50.0,190,1000000,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
339,340,Whiscash,3,Water,Ground,Whiskers Pokémon,0,78,76,73,71,110,60,468,0.9,23.6,50.0,75,1000000,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
341,342,Crawdaunt,3,Water,Dark,Rogue Pokémon,0,120,90,85,55,63,55,468,1.1,32.8,50.0,155,1640000,2.0,0.5,1.0,2.0,2.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
342,343,Baltoy,3,Ground,Psychic,Clay Doll Pokémon,0,40,40,55,70,40,55,300,0.5,21.5,,255,1000000,2.0,2.0,1.0,0.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0
343,344,Claydol,3,Ground,Psychic,Clay Doll Pokémon,0,70,70,105,120,60,75,500,1.5,108.0,,90,1000000,2.0,2.0,1.0,0.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0
344,345,Lileep,3,Rock,Grass,Sea Lily Pokémon,0,41,61,77,87,66,23,355,1.0,23.8,88.1,45,600000,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,1.0
345,346,Cradily,3,Rock,Grass,Barnacle Pokémon,0,81,81,97,107,86,43,495,1.5,60.4,88.1,45,600000,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,1.0
346,347,Anorith,3,Rock,Bug,Old Shrimp Pokémon,0,95,40,50,50,45,75,355,0.7,12.5,88.1,45,600000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
347,348,Armaldo,3,Rock,Bug,Plate Pokémon,0,125,70,100,80,75,45,495,1.5,68.2,88.1,45,600000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
356,357,Tropius,3,Grass,Flying,Fruit Pokémon,0,68,72,83,87,99,51,460,2.0,100.0,50.0,200,1250000,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
362,363,Spheal,3,Ice,Water,Clap Pokémon,0,40,55,50,50,70,25,290,0.8,39.5,50.0,255,1059860,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
363,364,Sealeo,3,Ice,Water,Ball Roll Pokémon,0,60,75,70,70,90,45,410,1.1,87.6,50.0,120,1059860,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
364,365,Walrein,3,Ice,Water,Ice Break Pokémon,0,80,95,90,90,110,65,530,1.4,150.6,50.0,45,1059860,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
368,369,Relicanth,3,Water,Rock,Longevity Pokémon,0,90,45,130,65,100,55,485,1.0,23.4,88.1,25,1250000,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
372,373,Salamence,3,Dragon,Flying,Dragon Pokémon,0,145,120,130,90,95,120,700,1.5,102.6,50.0,45,1250000,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
373,374,Beldum,3,Steel,Psychic,Iron Ball Pokémon,0,55,35,80,60,40,30,300,0.6,95.2,,3,1250000,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
374,375,Metang,3,Steel,Psychic,Iron Claw Pokémon,0,75,55,100,80,60,50,420,1.2,202.5,,3,1250000,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
375,376,Metagross,3,Steel,Psychic,Iron Leg Pokémon,0,145,105,150,110,80,110,700,1.6,550.0,,3,1250000,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
379,380,Latias,3,Dragon,Psychic,Eon Pokémon,1,100,140,120,150,80,110,700,1.4,40.0,0.0,3,1250000,2.0,2.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5
380,381,Latios,3,Dragon,Psychic,Eon Pokémon,1,130,160,100,120,80,110,700,2.0,60.0,100.0,3,1250000,2.0,2.0,2.0,0.5,2.0,0.5,0.5,1.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5
383,384,Rayquaza,3,Dragon,Flying,Sky High Pokémon,1,180,180,100,100,105,115,780,7.0,206.5,,45,1250000,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
384,385,Jirachi,3,Steel,Psychic,Wish Pokémon,1,100,100,100,100,100,100,600,0.3,1.1,,3,1250000,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
388,389,Torterra,4,Grass,Ground,Continent Pokémon,0,109,75,105,85,95,56,525,2.2,310.0,88.1,45,1059860,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.5,1.0,1.0
390,391,Monferno,4,Fire,Fighting,Playful Pokémon,0,78,78,52,52,64,81,405,0.9,22.0,88.1,45,1059860,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
391,392,Infernape,4,Fire,Fighting,Flame Pokémon,0,104,104,71,71,76,108,534,1.2,55.0,88.1,45,1059860,0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
394,395,Empoleon,4,Water,Steel,Emperor Pokémon,0,86,111,88,101,84,60,530,1.7,84.5,88.1,45,1059860,0.5,1.0,0.5,2.0,0.5,2.0,1.0,0.5,1.0,1.0,2.0,0.25,0.5,0.0,0.5,0.5,0.25,0.5
395,396,Starly,4,Normal,Flying,Starling Pokémon,0,55,30,30,30,40,60,245,0.3,2.0,50.0,255,1059860,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
396,397,Staravia,4,Normal,Flying,Starling Pokémon,0,75,40,50,40,55,80,340,0.6,15.5,50.0,120,1059860,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
