pokedex_number,name,generation,type1,type2,classfication,is_legendary,attack,sp_attack,defense,sp_defense,hp,speed,base_total,height_m,weight_kg,percentage_male,capture_rate,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
134,Vaporeon,1,Water,,Bubble Jet Pokémon,0,65,110,60,95,130,65,525,1.0,29.0,88.1,45,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
135,Jolteon,1,Electric,,Lightning Pokémon,0,65,110,60,95,65,130,525,0.8,24.5,88.1,45,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
136,Flareon,1,Fire,,Flame Pokémon,0,130,95,60,110,65,65,525,0.9,25.0,88.1,45,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
137,Porygon,1,Normal,,Virtual Pokémon,0,60,85,70,75,65,40,395,0.8,36.5,,45,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
138,Omanyte,1,Rock,Water,Spiral Pokémon,0,40,90,100,55,35,35,355,0.4,7.5,88.1,45,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
139,Omastar,1,Rock,Water,Spiral Pokémon,0,60,115,125,70,70,55,495,1.0,35.0,88.1,45,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
140,Kabuto,1,Rock,Water,Shellfish Pokémon,0,80,55,90,45,30,55,355,0.5,11.5,88.1,45,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
141,Kabutops,1,Rock,Water,Shellfish Pokémon,0,115,65,105,70,60,80,495,1.3,40.5,88.1,45,1000000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
142,Aerodactyl,1,Rock,Flying,Fossil Pokémon,0,135,70,85,95,80,150,615,1.8,59.0,88.1,45,1250000,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
143,Snorlax,1,Normal,,Sleeping Pokémon,0,110,65,65,110,160,30,540,2.1,460.0,88.1,25,1250000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
144,Articuno,1,Ice,Flying,Freeze Pokémon,1,85,95,100,125,90,85,580,1.7,55.4,,3,1250000,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
145,Zapdos,1,Electric,Flying,Electric Pokémon,1,90,125,85,90,90,100,580,1.6,52.6,,3,1250000,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
146,Moltres,1,Fire,Flying,Flame Pokémon,1,100,125,90,85,90,90,580,2.0,60.0,,3,1250000,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
147,Dratini,1,Dragon,,Dragon Pokémon,0,64,50,45,50,41,50,300,1.8,3.3,50,45,1250000,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
148,Dragonair,1,Dragon,,Dragon Pokémon,0,84,70,65,70,61,70,420,4.0,16.5,50,45,1250000,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
149,Dragonite,1,Dragon,Flying,Dragon Pokémon,0,134,100,95,100,91,80,600,2.2,210.0,50,45,1250000,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
150,Mewtwo,1,Psychic,,Genetic Pokémon,1,150,194,70,120,106,140,780,2.0,122.0,,3,1250000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
151,Mew,1,Psychic,,New Species Pokémon,1,100,100,100,100,100,100,600,0.4,4.0,,45,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
152,Chikorita,2,Grass,,Leaf Pokémon,0,49,49,65,65,45,45,318,0.9,6.4,88.1,45,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
153,Bayleef,2,Grass,,Leaf Pokémon,0,62,63,80,80,60,60,405,1.2,15.8,88.1,45,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
154,Meganium,2,Grass,,Herb Pokémon,0,82,83,100,100,80,80,525,1.8,100.5,88.1,45,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
155,Cyndaquil,2,Fire,,Fire Mouse Pokémon,0,52,60,43,50,39,65,309,0.5,7.9,88.1,45,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
156,Quilava,2,Fire,,Volcano Pokémon,0,64,80,58,65,58,80,405,0.9,19.0,88.1,45,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
157,Typhlosion,2,Fire,,Volcano Pokémon,0,84,109,78,85,78,100,534,1.7,79.5,88.1,45,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
158,Totodile,2,Water,,Big Jaw Pokémon,0,65,44,64,48,50,43,314,0.6,9.5,88.1,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
159,Croconaw,2,Water,,Big Jaw Pokémon,0,80,59,80,63,65,58,405,1.1,25.0,88.1,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
160,Feraligatr,2,Water,,Big Jaw Pokémon,0,105,79,100,83,85,78,530,2.3,88.8,88.1,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
161,Sentret,2,Normal,,Scout Pokémon,0,46,35,34,45,35,20,215,0.8,6.0,50,255,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
162,Furret,2,Normal,,Long Body Pokémon,0,76,45,64,55,85,90,415,1.8,32.5,50,90,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
163,Hoothoot,2,Normal,Flying,Owl Pokémon,0,30,36,30,56,60,50,262,0.7,21.2,50,255,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
164,Noctowl,2,Normal,Flying,Owl Pokémon,0,50,86,50,96,100,70,452,1.6,40.8,50,90,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
165,Ledyba,2,Bug,Flying,Five Star Pokémon,0,20,40,30,80,40,55,265,1.0,10.8,50,255,800000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
166,Ledian,2,Bug,Flying,Five Star Pokémon,0,35,55,50,110,55,85,390,1.4,35.6,50,90,800000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
167,Spinarak,2,Bug,Poison,String Spit Pokémon,0,60,40,40,40,40,30,250,0.5,8.5,50,255,800000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
168,Ariados,2,Bug,Poison,Long Leg Pokémon,0,90,60,70,70,70,40,400,1.1,33.5,50,90,800000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
169,Crobat,2,Poison,Flying,Bat Pokémon,0,90,70,80,80,85,130,535,1.8,75.0,50,90,1000000,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
170,Chinchou,2,Water,Electric,Angler Pokémon,0,38,56,38,56,75,67,330,0.5,12.0,50,190,1250000,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
171,Lanturn,2,Water,Electric,Light Pokémon,0,58,76,58,76,125,67,460,1.2,22.5,50,75,1250000,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
172,Pichu,2,Electric,,Tiny Mouse Pokémon,0,40,35,15,35,20,60,205,0.3,2.0,50,190,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
173,Cleffa,2,Fairy,,Star Shape Pokémon,0,25,45,28,55,50,15,218,0.3,3.0,24.6,150,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
174,Igglybuff,2,Normal,Fairy,Balloon Pokémon,0,30,40,15,20,90,15,210,0.3,1.0,24.6,170,800000,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
175,Togepi,2,Fairy,,Spike Ball Pokémon,0,20,40,65,65,35,20,245,0.3,1.5,88.1,190,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
176,Togetic,2,Fairy,Flying,Happiness Pokémon,0,40,80,85,105,55,40,405,0.6,3.2,88.1,75,800000,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
177,Natu,2,Psychic,Flying,Little Bird Pokémon,0,50,70,45,45,40,70,320,0.2,2.0,50,190,1000000,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
178,Xatu,2,Psychic,Flying,Mystic Pokémon,0,75,95,70,70,65,95,470,1.5,15.0,50,75,1000000,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
179,Mareep,2,Electric,,Wool Pokémon,0,40,65,40,45,55,35,280,0.6,7.8,50,235,1059860,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
180,Flaaffy,2,Electric,,Wool Pokémon,0,55,80,55,60,70,45,365,0.8,13.3,50,120,1059860,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
181,Ampharos,2,Electric,,Light Pokémon,0,95,165,105,110,90,45,610,1.4,61.5,50,45,1059860,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
182,Bellossom,2,Grass,,Flower Pokémon,0,80,90,95,100,75,50,490,0.4,5.8,50,45,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
183,Marill,2,Water,Fairy,Aquamouse Pokémon,0,20,20,50,50,70,40,250,0.4,8.5,50,190,800000,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
184,Azumarill,2,Water,Fairy,Aquarabbit Pokémon,0,50,60,80,80,100,50,420,0.8,28.5,50,75,800000,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
185,Sudowoodo,2,Rock,,Imitation Pokémon,0,100,30,115,65,70,30,410,1.2,38.0,50,65,1000000,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
186,Politoed,2,Water,,Frog Pokémon,0,75,90,75,100,90,70,500,1.1,33.9,50,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
187,Hoppip,2,Grass,Flying,Cottonweed Pokémon,0,35,35,40,55,35,50,250,0.4,0.5,50,255,1059860,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
188,Skiploom,2,Grass,Flying,Cottonweed Pokémon,0,45,45,50,65,55,80,340,0.6,1.0,50,120,1059860,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
189,Jumpluff,2,Grass,Flying,Cottonweed Pokémon,0,55,55,70,95,75,110,460,0.8,3.0,50,45,1059860,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
190,Aipom,2,Normal,,Long Tail Pokémon,0,70,40,55,55,55,85,360,0.8,11.5,50,45,800000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
191,Sunkern,2,Grass,,Seed Pokémon,0,30,30,30,30,30,30,180,0.3,1.8,50,235,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
192,Sunflora,2,Grass,,Sun Pokémon,0,75,105,55,85,75,30,425,0.8,8.5,50,120,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
193,Yanma,2,Bug,Flying,Clear Wing Pokémon,0,65,75,45,45,65,95,390,1.2,38.0,50,75,1000000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
194,Wooper,2,Water,Ground,Water Fish Pokémon,0,45,25,45,25,55,15,210,0.4,8.5,50,255,1000000,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
195,Quagsire,2,Water,Ground,Water Fish Pokémon,0,85,65,85,65,95,35,430,1.4,75.0,50,90,1000000,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
196,Espeon,2,Psychic,,Sun Pokémon,0,65,130,60,95,65,110,525,0.9,26.5,88.1,45,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
197,Umbreon,2,Dark,,Moonlight Pokémon,0,65,60,110,130,95,65,525,1.0,27.0,88.1,45,1000000,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
198,Murkrow,2,Dark,Flying,Darkness Pokémon,0,85,85,42,42,60,91,405,0.5,2.1,50,30,1059860,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
199,Slowking,2,Water,Psychic,Royal Pokémon,0,75,100,80,110,95,30,490,2.0,79.5,50,70,1000000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
200,Misdreavus,2,Ghost,,Screech Pokémon,0,60,85,60,85,60,85,435,0.7,1.0,50,45,800000,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
201,Unown,2,Psychic,,Symbol Pokémon,0,72,72,48,48,48,48,336,0.5,5.0,,225,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
202,Wobbuffet,2,Psychic,,Patient Pokémon,0,33,33,58,58,190,33,405,1.3,28.5,50,45,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
203,Girafarig,2,Normal,Psychic,Long Neck Pokémon,0,80,90,65,65,70,85,455,1.5,41.5,50,60,1000000,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
204,Pineco,2,Bug,,Bagworm Pokémon,0,65,35,90,35,50,15,290,0.6,7.2,50,190,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
205,Forretress,2,Bug,Steel,Bagworm Pokémon,0,90,60,140,60,75,40,465,1.2,125.8,50,75,1000000,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
206,Dunsparce,2,Normal,,Land Snake Pokémon,0,70,65,70,65,100,45,415,1.5,14.0,50,190,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
207,Gligar,2,Ground,Flying,Flyscorpion Pokémon,0,75,35,105,65,65,85,430,1.1,64.8,50,60,1059860,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
208,Steelix,2,Steel,Ground,Iron Snake Pokémon,0,125,55,230,95,75,30,610,9.2,400.0,50,25,1000000,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
209,Snubbull,2,Fairy,,Fairy Pokémon,0,80,40,50,40,60,30,300,0.6,7.8,24.6,190,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
210,Granbull,2,Fairy,,Fairy Pokémon,0,120,60,75,60,90,45,450,1.4,48.7,24.6,75,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
211,Qwilfish,2,Water,Poison,Balloon Pokémon,0,95,55,85,55,65,85,440,0.5,3.9,50,45,1000000,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
212,Scizor,2,Bug,Steel,Pincer Pokémon,0,150,65,140,100,70,75,600,1.8,118.0,50,25,1000000,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
213,Shuckle,2,Bug,Rock,Mold Pokémon,0,10,10,230,230,20,5,505,0.6,20.5,50,190,1059860,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
214,Heracross,2,Bug,Fighting,Singlehorn Pokémon,0,185,40,115,105,80,75,600,1.5,54.0,50,45,1250000,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
215,Sneasel,2,Dark,Ice,Sharp Claw Pokémon,0,95,35,55,75,55,115,430,0.9,28.0,50,60,1059860,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
216,Teddiursa,2,Normal,,Little Bear Pokémon,0,80,50,50,50,60,40,330,0.6,8.8,50,120,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
217,Ursaring,2,Normal,,Hibernator Pokémon,0,130,75,75,75,90,55,500,1.8,125.8,50,60,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
218,Slugma,2,Fire,,Lava Pokémon,0,40,70,40,40,40,20,250,0.7,35.0,50,190,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
219,Magcargo,2,Fire,Rock,Lava Pokémon,0,50,90,120,80,60,30,430,0.8,55.0,50,75,1000000,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4
220,Swinub,2,Ice,Ground,Pig Pokémon,0,50,30,40,30,50,50,250,0.4,6.5,50,225,1250000,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
221,Piloswine,2,Ice,Ground,Swine Pokémon,0,100,60,80,60,100,50,450,1.1,55.8,50,75,1250000,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2
222,Corsola,2,Water,Rock,Coral Pokémon,0,55,65,95,95,65,35,410,0.6,5.0,24.6,60,800000,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
223,Remoraid,2,Water,,Jet Pokémon,0,65,65,35,35,35,65,300,0.6,12.0,50,190,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
224,Octillery,2,Water,,Jet Pokémon,0,105,105,75,75,75,45,480,0.9,28.5,50,75,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
225,Delibird,2,Ice,Flying,Delivery Pokémon,0,55,65,45,45,45,75,330,0.9,16.0,50,45,800000,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
226,Mantine,2,Water,Flying,Kite Pokémon,0,40,80,70,140,85,70,485,2.1,220.0,50,25,1250000,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
227,Skarmory,2,Steel,Flying,Armor Bird Pokémon,0,80,40,140,70,65,70,465,1.7,50.5,50,25,1250000,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1
228,Houndour,2,Dark,Fire,Dark Pokémon,0,60,80,30,50,45,65,330,0.6,10.8,50,120,1250000,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
229,Houndoom,2,Dark,Fire,Dark Pokémon,0,90,140,90,90,75,115,600,1.4,35.0,50,45,1250000,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2
230,Kingdra,2,Water,Dragon,Dragon Pokémon,0,95,95,95,95,75,85,540,1.8,152.0,50,45,1000000,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25
231,Phanpy,2,Ground,,Long Nose Pokémon,0,60,40,60,40,90,40,330,0.5,33.5,50,120,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
232,Donphan,2,Ground,,Armor Pokémon,0,120,60,120,60,90,50,500,1.1,120.0,50,60,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
233,Porygon2,2,Normal,,Virtual Pokémon,0,80,105,90,95,85,60,515,0.6,32.5,,45,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
234,Stantler,2,Normal,,Big Horn Pokémon,0,95,85,62,65,73,85,465,1.4,71.2,50,45,1250000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
235,Smeargle,2,Normal,,Painter Pokémon,0,20,20,35,45,55,75,250,1.2,58.0,50,45,800000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
236,Tyrogue,2,Fighting,,Scuffle Pokémon,0,35,35,35,35,35,35,210,0.7,21.0,100,75,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
237,Hitmontop,2,Fighting,,Handstand Pokémon,0,95,35,95,110,50,70,455,1.4,48.0,100,45,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
238,Smoochum,2,Ice,Psychic,Kiss Pokémon,0,30,85,15,65,45,65,305,0.4,6.0,0,45,1000000,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
239,Elekid,2,Electric,,Electric Pokémon,0,63,65,37,55,45,95,360,0.6,23.5,75.4,45,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
240,Magby,2,Fire,,Live Coal Pokémon,0,75,70,37,55,45,83,365,0.7,21.4,75.4,45,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
241,Miltank,2,Normal,,Milk Cow Pokémon,0,80,40,105,70,95,100,490,1.2,75.5,0,45,1250000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
242,Blissey,2,Normal,,Happiness Pokémon,0,10,75,10,135,255,55,540,1.5,46.8,0,30,800000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
243,Raikou,2,Electric,,Thunder Pokémon,1,85,115,75,100,90,115,580,1.9,178.0,,3,1250000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
244,Entei,2,Fire,,Volcano Pokémon,1,115,90,85,75,115,100,580,2.1,198.0,,3,1250000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
245,Suicune,2,Water,,Aurora Pokémon,1,75,90,115,115,100,85,580,2.0,187.0,,3,1250000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
246,Larvitar,2,Rock,Ground,Rock Skin Pokémon,0,64,45,50,50,50,41,300,0.6,72.0,50,45,1250000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
247,Pupitar,2,Rock,Ground,Hard Shell Pokémon,0,84,65,70,70,70,51,410,1.2,152.0,50,45,1250000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
248,Tyranitar,2,Rock,Dark,Armor Pokémon,0,164,95,150,120,100,71,700,2.0,202.0,50,45,1250000,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2
249,Lugia,2,Psychic,Flying,Diving Pokémon,1,90,90,130,154,106,110,680,5.2,216.0,,3,1250000,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
250,Ho-Oh,2,Fire,Flying,Rainbow Pokémon,1,130,110,90,154,106,90,680,3.8,199.0,,3,1250000,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
251,Celebi,2,Psychic,Grass,Time Travel Pokémon,1,100,100,100,100,100,100,600,0.6,5.0,,45,1059860,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
252,Treecko,3,Grass,,Wood Gecko Pokémon,0,45,65,35,55,40,70,310,0.5,5.0,88.1,45,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
253,Grovyle,3,Grass,,Wood Gecko Pokémon,0,65,85,45,65,50,95,405,0.9,21.6,88.1,45,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
254,Sceptile,3,Grass,,Forest Pokémon,0,110,145,75,85,70,145,630,1.7,52.2,88.1,45,1059860,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
255,Torchic,3,Fire,,Chick Pokémon,0,60,70,40,50,45,45,310,0.4,2.5,88.1,45,1059860,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
256,Combusken,3,Fire,Fighting,Young Fowl Pokémon,0,85,85,60,60,60,55,405,0.9,19.5,88.1,45,1059860,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
257,Blaziken,3,Fire,Fighting,Blaze Pokémon,0,160,130,80,80,80,100,630,1.9,52.0,88.1,45,1059860,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2
258,Mudkip,3,Water,,Mud Fish Pokémon,0,70,50,50,50,50,40,310,0.4,7.6,88.1,45,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
259,Marshtomp,3,Water,Ground,Mud Fish Pokémon,0,85,60,70,70,70,50,405,0.7,28.0,88.1,45,1059860,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
260,Swampert,3,Water,Ground,Mud Fish Pokémon,0,150,95,110,110,100,70,635,1.5,81.9,88.1,45,1059860,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
261,Poochyena,3,Dark,,Bite Pokémon,0,55,30,35,30,35,35,220,0.5,13.6,50,255,1000000,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
262,Mightyena,3,Dark,,Bite Pokémon,0,90,60,70,60,70,70,420,1.0,37.0,50,127,1000000,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
263,Zigzagoon,3,Normal,,Tiny Racoon Pokémon,0,30,30,41,41,38,60,240,0.4,17.5,50,255,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
264,Linoone,3,Normal,,Rush Pokémon,0,70,50,61,61,78,100,420,0.5,32.5,50,90,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
265,Wurmple,3,Bug,,Worm Pokémon,0,45,20,35,30,45,20,195,0.3,3.6,50,255,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
266,Silcoon,3,Bug,,Cocoon Pokémon,0,35,25,55,25,50,15,205,0.6,10.0,50,120,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
267,Beautifly,3,Bug,Flying,Butterfly Pokémon,0,70,100,50,50,60,65,395,1.0,28.4,50,45,1000000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
268,Cascoon,3,Bug,,Cocoon Pokémon,0,35,25,55,25,50,15,205,0.7,11.5,50,120,1000000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
